Comentario,Nota,sentimento
"Eine Illusion. Ein Vogel im Zylinder. Oder ist es doch eine Katze? ""Exotica"" fühlt sich an als würde Atom Egoyan den Zuschauer durch ein Labyrinth führen. In jedem Gang, in dem man den richtigen Weg vermutet, liegt nur ein weiteres Puzzleteil für ein Gesamtbild, das erst am Ende Sinn ergibt.""Exotica"" ist dabei das beste Beispiel dafür, warum das Kino die Kunst der Form ist. Es geht im Film nicht um die Story, sondern wie sie erzählt wird. Aus distanzierter Sicht bietet ""Exotica"" eigentlich eine relativ banale Handlung, wie Egoyan diese aber ordnet ist worauf es ankommt. Durch die zerstückelte Erzählweise entsteht ein surrealistisches Meisterwerk, das genauso vielschichtig wie sonderbar ist. Mit dem besten Soundtrack, den Mychael Danna je komponiert hat und einem Opening für die Ewigkeit schafft es Exotica eine persönliche Charakterzeichnung umhüllt von philosophischen Ansätzen zu sein. Wie ein Tanz für Geld zeigt ""Exotica"" wie jede Beziehung lediglich zum Selbstzweck besteht, was auch immer dieser sein mag. Wie von hinten durchsichtige Spiegel weiß man von außen oft nicht, was der Selbstzweck einer Person ist. Diese lassen sich bezogen auf die Figuren des Films teilweise nur vermuten. ""Exotica"" ist aber auch eine Geschichte über Täuschung und Selbsttäuschung. Es werden Beziehungen illustriert, die lediglich aus dem Zweck bestehen ein gewisses Eigenbild aufrecht zu erhalten, da dieses nicht aufgegeben werden kann. Kontakt wird als Droge der Verdrängung der Selbstbewältigung etabliert. Auch wenn ""Exotica"" an wenigen Stellen etwas zu klischeehaft ist, macht dies in keinster Weise die einzigartige Seherfahrung des Films zunichte. Wie die Figuren des Films versuchen aus einem Spiegel ein Fenster zu machen bleibt die Frage, ob ich nun die Figuren des Films oder doch nur mich selbst besser verstanden habe.",5.0,positivo
"Los noventa fueron la edad dorada del cine de ""hombres harán cualquier cosa en vez de ir a terapia"". Por suerte el hablar de salud mental en formato memes no se había inventado aún y podemos tener pelis tan extrañas y maravillosas como esta, donde lo ritual y lo sórdido aparecen como una tirita para lidiar con toda la mierda y la tragedia que nos arroja la vida, para luego desvelar, poco a poco, capa a capa, que lo que nos puede salvar son los hilos, frágiles, retorcidos y casi invisibles de puro finos, que nos unen a otros seres humanos. Tu vida es una cosa rarísima probablemente si la observas durante un solo instante desde fuera, sin contexto alguno, pero es una vida al fin y al cabo",0.0,
Ça va probablement devenir un de mes films préférés,5.0,positivo
"No muy seguro de que es lo que acabo de ver, pero totalmente enamorado de la misteriosa y etérea aura que se desprende de este filme. 
Exotica es voyerista de un dolor invisible, el pacto sexual del consumo del cuerpo, la fantasía y la sugestión. 
Donde el amor es animal, tortuoso, estimulante pero jamás se atraviesa la carne, la tentativa de la identidad fragmentada y el caos esparcido por una narrativa poco clara, de vidas poco claras, dejan a todos en un atar eterno.",4.5,positivo
Sad dancing for sad dads,5.0,positivo
A beautiful unravel!,4.5,positivo
"Pretende ser profunda y compleja, pero en realidad no dice nada. Mentalmente me dormí tres siestas.",2.0,negativo
"Absolument captivant.
La cinématographie et l'ambiance sonore sont à tomber par terre, et l'Exotica est un endroit complètement hors du temps, à la fois sordide et sublime où on s'oublie rapidement.
L'intrigue est - certes- en deux temps, et j'ai un peu vu du Magnolia dans la première partie du film où on va suivre des personnages un peu partout, sans forcément que la narration nous guide trop vers un développement de l'histoire. J'ai trouvé ça vraiment agréable, et encore une fois toute la cinématographie, la photo et les dialogues sont CAPTIVANTS on a juste envie que ça continue comme ça tout du long.
Une excellente surprise j'ai vraiment hâte de le redécouvrir et de peut être monter ma note.
Je pense aussi qu'il se déguste bien seul, loin des distractions parce que l'ambiance joue énormément.",4.5,positivo
yaşamak istemiyorum,5.0,positivo
"a primeira metade do filme foi feita pelo david lynch. a câmara acompanha um dos personagens, sobre o qual não sabemos muito, mas ele esconde qualquer coisa, intriga nos. ela move-se lentamente ao redor dele, da nos a sensação de isolamento e de que estamos a sonhar, com música e fala de fundo abafadas. sentimos que estamos num ambiente EXOTICO (ao qual nao pertencemos?). 
gostava que o final não tivesse juntado todas as peças do puzzle. acho que a mensagem de isolamento e de perda e do lugar mítico do clube teriam ficado melhor com alguns laços por juntar. 
Em geral prefiro sempre quando os filmes acabam sem nos dar o confronto que prometem, ou quando as peças quase que encaixam mas nao batem bem certo com as outras",4.0,positivo
mesmerizing,5.0,positivo
moody gay fever dream. i love,4.5,positivo
L'Année Dernière au Cheetah,5.0,positivo
"uau… eu tava achando estranho no início, começa meio perdido mas até o fim tudo se encaixou. é um filme enigmático, sombrio e sensual, com personagens conectados por tragédias e lidando com o luto através do sexo e da obsessão.
a carga emocional no último ato do filme é bem grande e é quando todos os mistérios são revelados, uma aula de como escrever roteiro.",4.0,positivo
"Instant favorite, greatest ending ever. I am very sad",5.0,positivo
"J’aime beaucoup les films qui réussissent à susciter l’intérêt du spectateur dès les premiers instants (générique d’ouverture somptueux) alors que tout est encore opaque. Exotica a un pouvoir hypnotique indéniable. Mia Kirsher et la musique de Leonard Cohen, ça aide beaucoup aussi.",0.0,
peak horny/sad cinema,4.0,positivo
Zaaaaaaaamn,4.0,positivo
"la trama y el giro en el final es espectacular, tiene altas i-sat vibes",4.0,positivo
"Personajes complejos y excelentes diálogos, además de la música que le agrega su místicismo a la película. Un verdadero deleite.",4.0,positivo
oh my god..... OH MY GOD...,5.0,positivo
"자신에게 애착의 대상임에도 그 대상을 얻으려 하질 않는 혹자의 사연이 있다면, 이는 그 대상을 얻을 역량이 자신에게 없음을 알기 때문이기도 하면서 이미 누군가를 사랑했던 상처가 그에게 깊이 남아있기 때문이기도 하겠다. 복잡한 서사인데 그 표현을 연출보단 대사에 의존한 한계도 있으나, 영화는 준수하게 이뤄진 인물 연구를 바탕으로 사랑이 두려운 이들의 상처를 짚는다.",4.0,positivo
"Un drama engatusante y misterioso, me recuerda a Lynch y sus conceptos enigmáticos. Con un soundtrack delicado además de hipnotizador.",4.0,positivo
shit in a bag.,0.5,negativo
""" You are not supposed to touch?"" --- der vielleicht hypnotischste Film aller Zeiten
12 December 2019
Exotica, ehrfurchtsvoll verneige ich mich vor einem Meisterwerke und gedenke mich kurz zu fassen, da andernfalls ein nie enden wollender Wortsturm nicht gänzlich auszuschließen wäre, --171,0-- , der aus gegebenen Gründen unter unschönen Umständen bereits finale Rezensionstext des gegenwärt‘gen Jahres, ehe es im Januar mit dem Bonde und verschiedentlich‘ Anderem wird weitergehen dürfen – und falls dem so sein sollte, also gesetzt den Fall, die Exotik ergäbe einen Jahresabschluss, welcher bereits am gestrigen Tage im „Cosmos“ angedacht war, so wünsche ich Ihnen schon einmal eine zartfühlende Weihnacht, für welche Sie sich werden erwärmen, in ebendieser Hoffnung lasset uns verharren.
„You have to ask yourself: What brought the person to this point?, you have to convince yourself, that this person has something hidden that you have to find.“
„We are always just a dream away...“
""Do you know that feeling you get sometimes, Tracy, that you did not ask to be brought into the world? Well, then who did? If you think that you did not ask to be brought into the world, then who did? All I'm saying is.... nobody asked you if you wanted to be brought into the world. You just ended up getting here. So the question is, now that you're here....who's asking you to stay?""
„Some types of activity might be more complicated.“
„You have no idea how far it‘s gone!“
Die soeben erklungenen (fünf am Zählchen) Zitate mögen einleitenderweise als Ersteindruck fungieren und arbeiten im eigentlichen Hauptwerke gekonnt mit Schlüsselmomenten, diesmal erfolgte die mein‘ge Sichtung des in nicht wenigen Ländern (in deutschen Gefilden bedauerlicherweise ausschließlich auf VHS – vergriffene Ausgabe aus dem Jahre 1995, wann erbarmt sich jemand?, wann nimmt sich ein label des Werkes an?, das Warten schmerzt) erhältlichen Ausnahmedramas im Rahmen einer holländischen Variante (7 DVDs: „The WORLD of Atom Egoyan“, ebenfalls 7 Discs beinhaltet die Box von Artificial Eye, dorten befinden sich meine Worte zum süßen Jenseits, die letzt‘re Edition empfiehlt sich für all jene, welche die ersten sieben Hauptwerke zu sehen gewillt sind) und bereits die musikalischen Wunder im MENÜ sind magischer als es sich jemals jemand erträumt hätte, die Poesie in den Kompositionen und die sagenumwobene Macht der Bildsprache erzeugen einen ureigenen Kosmos, die verschiedenen Trailer des Werkes sind ebenfalls bereits rauschhaft, jener von Miramax eher Effekthascherei, aber nicht minder faszinierend, in der Einstiegssequenz bauet sich der elegante Titel Exoticas (Exotica) langsamst Buchstabe für Buchstabe auf, die Kamera sie fährt zeitlupengleich von links nach rechts (scherzhaft könnte man sagen: Super Mario Side-Scroller ohne Tempo), wir schwämmen sodann durch ein leuchtendes Tauchbad der Gefühle, die extravaganten und im bestmöglichen Sinne überkandidelten Bildnisse zeugen von düsterer Aura, das lebende Gedicht als 99- bis 103-minütige tour de force kinematographischer Exzesse, eine Odyssee jenseits aller Grenzen (die aber gleichwohl gesetzt werden – bräche man sie, flöge man hinaus und landete im Regen, Francis weiß wovon ich parliere, später mehr), in Bälde lernen wir zu Beginn des Films Thomas kennen im Rahmen einer absurd-komischen Taxifahrt, anschließend treffen wir Mia im Exotica, einem Garten Eden, der Eure Sinne wird betören, selten jedoch sonderlich erregend wirkt, sondern die meiste Zeit über eher ein Trauerkelch verlorener Seelen zu sein scheint, die visuellen Eindrücke zwar sind bestechend, aber selten nur von Heiterkeit geprägt, eigentlich nahezu nie, selbst dann nicht, wenn besagte Mia zu „everybody knows“ ihren inn‘ren Schwung nach außen trüge, in solchen Momentaufnahmen vielleicht gar am Allerwenigsten.
In der deutschen Fassung erhören Sie eine sehr warme, zarte Stimme auf Greenwood, was zum sensiblen Charakter seiner Rolle zwar kongenial passen mag, jedoch reichlich wenig mit der extrem coolen, durchaus tiefen Originalstimme gemein hat, Greenwoods eigentliches (deutlich näher am Originale seiendes) deutsches Stimmpendant (späteren Tages sehr häufig: Oliver Stritzel) spricht in Exotica hingegen Eric (Elias Koteas), dieser wiederum klänge im Original höher, weitere Stimmen im Werke finden sich u.a. in Jan Odle, die Kombination Stritzel/Odle erinnert den geneigten 90er Jahre Experten an Mike Leigh‘s Meisterwerk „naked“ („Kannst du mir folgen?“, dieser Satz begleitet auch Exotica aus eben derselben Stimme heraus), alsbald geleitet uns das Werk in die Oper und von dorten aus musikalisch führet es uns auf direktem Wege weiter zurück ins Exotica, in die EIGENTLICHE Oper, in die noch Emotionalere, Aufregendere, Packendere, das Filmwerk stünde dabei für recht fließende Übergänge, keine radikalen Schnitte ereilen uns, alles Erdenkliche harmoniert in Gänze, besonders Sarahs Spiel an der Flöte im Einklange mit dem sich verselbstständigenden Yamaha-Flügel, eine Traumwelt voller Spiegeleffekte der delirierenden Seelenzustände, jedwede Form von Nähe erwiese sich als notwendig, aber vonnöten seiend hin oder her, verweilt sie gleichwohl in schmerzdurchtränkter Tränenseelentristesse, zumal und zudem selbst Rückzugsörtlichkeiten nicht für die pure Stille stehen, sondern (Koteas manipuliert Green – oder versucht es zumindest, Greenwood beteuert anderswo, er wäre enttäuscht gewesen, ließe sich Mia auf den „gut gemeinten“ Vorschlag Erics/Francis‘ ein, wollte es gewissermaßen „prüfen“, einerseits schwer zu glauben und andererseits im bitterernsten Kontexte seiner sich später annähernd erklärenden Situation durchaus herzensschlüssig) eine Welt der Gespräche und Konfrontationsformen bilden, zwischenzeitlich zeichnet das Farbenmeer ein Kontrastbild und gelobt uns im Zeichen der Erinnerung den unendlichen Weiten und Welten einer Weide beiwohnen zu lassen, dort zeichnet sich erwähnenswerterweise ein gänzlich anders als die Gegenwart gelagertes Kennenlernensbild zwischen Mia („Nicht noch ein Teenie-Film“, für Daniel :D) und Koteas („The Adjuster“) ab, ...wie im Jahre 1997 im süßen Jenseits (dort vielleicht noch verstärkt – aber alterstechnisch tendenziell weniger kontrovers) wird sich (Sarah Polley ward noch kaum erwähnt worden, ich liebe sie, ihre hiesige Rolle dagegen weniger, die gesamte Welt Francis‘ ist ihr zu verworren, sodass sie ihn zunehmend mit diesem „Such‘-dir-Hilfe“-Blick ansieht, der er nur zu vielen „Normalos“ inhärent ist, auch sein „You don‘t understand“ gegenüber der sonsten durchaus netten Zoey ist hier von Schlüsselbedeutung, nachdem sie äußert, das Exotica und seine Atmosphäre seien einzig der Unterhaltung dienlich und mitnichten einer Heilung im eigentlichen Sinne zugedacht) das Verhältnis zwischen Sarah/Tracey (sehr schöne deutsche Stimme, zauberhaft, erdentrückt) und Greenwood als (wenn auch minimal) zwischenmenschlich (!) gefärbt präsentieren, ich würde nicht so weit gehen „erotisch“ zu sagen, aber ein winziger Hauch von Beziehungscharakter wohnet den befremdlichen Situationen vereinzelt inne, wie gesaget aber kommt Tracy, let‘s face it, bei den hochgradig tiefgründigen Ausführungen Francis‘ nicht annähernd mit, im süßen Jenseits spielt Sarah eine äußerst intelligente und feinfühlige junge Frau, Tracy dagegen (das kritisiere ich überhaupt nicht, es ist mir nur leider etwas fremd, wie „wir“ ihr eben – denn ja, in gewisser Weise regelt sie die Dinge deutlich besser als er, rein wohlfühltechnisch betrachtet dürfte sie ihm haushoch überlegen sein, aber ihr irritierter Blick sprach eben Bände und trägt nicht sonderlich zu einem Verständnis ihm gegenüber bei) in ihrem (– eigentlich verständlichen, außerdem wird auch sie schon ohnedies zur Genüge unter Stress stehen, auch ohne als Abendpsychologin zu fungieren, ...lediglich beim Musizieren offenbart sich ihre magische Seite, aber auch da bezweifle ich, ob sie die Klänge wirklich FÜHLT, oder ob sie nicht „einfach“ notenbrav erlernt worden sind –) Wunsche nach einem unbeschwerten und locker-beschwingten Teenager-Leben freilich, kann die komplexen Erzählungen Greenwoods, härtlich gesprochen, nicht ab, eine andere Theorie hingegen wäre: Sie KONNTE es, tat es aber derart lang, dass sie ihren Sinn für ihn mit der Zeit verlor und daher indessen nur noch mit (einmal immerhin feinfühlig) Kommste-auch-klar-Fragen reagiert/replisiert, hier können Sie Ihre interpretatorischen Flügel ausbreiten. Resümee: Ich will mir nicht erdreisten, sie als unterbelichtet darzustellen, denn das ist sie wahrscheinlich nicht und auch dann täte ich es ungern, sage lediglich: Seine Themen sind nicht ihre Welt, Punkt, aber entschuldigend: Wer wäre hier nicht überfordert?
Immerhin: Keineswegs uninteressant zeigt sich ihre Aussage, dass sie ihren Vater in Francis‘ Gegenwart nicht mag, also speziell wenn Greenwood mit von der Partie sei, seine Replik hierauf scheint sehr schräg, hier haben die beiden Personen gefühlt für einen Augenblick die Rollen getauscht...
ALLES ist im Puzzle verflochten, verwoben, das umfasst Erics ZU inniglich daherkommenden (stellenweise unangenehmen) Ansagen vor den Auftritten Christinas (Mia), die Situation seitens Francis sowieso etc., selten bis nie ist ein Filmdrama, selbst wenn von einem Zeitgenie wie Egoyan geschrieben, SO brillant bis ins kleinste Detail durchdacht und ausgetüftelt, gleichwohl zugleich , und der Planung zum Trotze, erstrahlt die WIRKUNG des Werkes hochgradig pur, emotional, echt und natürlich, ein Film zarter als jedwede Klaviatur, jede vermeintliche Kleinigkeit hat Einfluss auf die Dialoge und deren Stimmcharakter, etwa in Thomas‘ Büro die unterschwelligen Dschungelanspielungen betreffend, um nur ein Beispiel unter gefühlten Tausenden aufzugreifen, Bruce spielt seinen Francis unsagbar facettenreich und mimt die Vielfalt des menschlichen und irdischen Daseins, sowohl charmant und höflich agiert er als bisweilen auch durchaus streng, er kommuniziert sehr ruhig und besonnen, versteht es aber aus der Not heraus gleichsam, Thomas in Nervosität zu versetzen und mit kleinen bedrohlichen Spitzen auf eine nächste Ebene hinzuarbeiten, im Gesamtbilde agiert der Film dabei stets leise mithilfe der zärtlichsten Zeitlupen und dehnt besagte Szenenwirkung noch einmal über die Maßen aus, im Jahre 1994 (hierzulande: Januar 1995) erschien ein unvergessliches Meisterwerk, dessentwegen der Begriff „Faszinosum“ noch gar kein Ausdruck ist, um diesen seltsamen Seelensegelflug adäquat in Worte zu fassen, denn man KANN ihn nicht beschreiben, wer vermag das schon?, wie sollen SOLCHE Bilder angemessen in Worte gekleidet werden?, wie sollen Worte das malen können, was ich fühle?, es ist mir ein Rätsel, ein Rätsel mindestens so enigmatisch wie der eigentliche Film, aber auch wieder etwas anders.
Die Stadt wird in tiefdunkle Nacht getaucht und gehüllt und es ertönet das exotischste Stück aus dem zuvorigen Film „Calendar“ (die Kombination Danna/Egoyan ist wohl mit das künstlerisch Fruchtbarste, das jemals seinen Weg in Richtung einer Leinwand fand), bläulich und von Zartstichen getragen erleuchtet die nächtliche Odyssee als besagte tour de force der Herzen, „she‘s his angel“,
„sometimes he has to wait for her and sometimes she‘s waiting for him“, selbst die reißerischsten Szenen einer erst 19-jährigen Mia enthöben den Film in keiner einzigen Passage zu einer Schmuddelschau (was jetzt noch nicht einmal einen „moralischen“ Spruch darstellen soll, denn wenn der Film weniger Tiefgang besäße, würde ich ihn für Szenen dieser Art dennoch nicht vollends ablehnen, warum auch?, ein Hauch von Ehrlichkeit sollte durchaus gestattet sein, Ästhetik ist keine Untat, sofern sie respektvoll mit ihren Figuren umgeht), verträumt gleiten Greenwoods Augen dahin und folgen der Person der Erinnerung, Mia und er haben ein hochsensibles Verhältnis zueinander und hegen es fast rituell, wie man es in dieser Intensität selbst im hübschesten Kunstkino so gut wie nie zu Gesichte bekommt, speziell die (die ihre ebenfalls nahezu perfekt, aber was Greenwood in diesem Filme entbot, ist wahrlich absolute Höchststufe der darstellenden Kunst, schade nur dass es eine Rolle wie diese für ihn anschließend nie wieder hat geben sollen) seinige schauspielerische Diversität ist in ihrer bereits zur Sprache gekommenen Vielfalt eine einmalige Angelegenheit, nie wissen wir zudem, ob wir gerade dem strikten Finanzprüfer beiwohnen, dem sympathischen und respektvollen Familienvater, dem erotisierten Clubbesucher, dem charmanten Erpresser, dem zerbrechlich labilen Wesen ewiglichen Verlustes oder Anderswem, keine der Aussagen ist unzutreffend, am Ende des Tages aber überwöge der Schmerz und die Zustände der nicht gerade im Übermaße vorhandenen seelischen Stabilität erreichen einen neuen Höhepunkt und sind wirklich nicht die Widerstandskraft in Person (visuell schon eher), Exotica ist der bildgewordene Orkan der völligen Abwesenheit von Bedeutungslosigkeit, jedweder Lichtschalter (!) ist bedeutungsschwanger, kein einziges Detail kommt von Ungefähr, Egoyans Instinkt geleitete ihn zur Erschaffung des perfekten Films, zweimal hat dies gelingen und reüssieren sollen (1994 und 1997), ansonsten nicht selten zwar, aber nie wieder in exakt derselben Weise wie weiland in den 90er Jahren.
Erstmals löst Exotica, welcher sich zuvor ungefähr auf Platz 5 befand, „Élisa“ (1995) als Lieblingsfilm ab (erneut ein „E“-Film, dessen Titel lediglich aus einem einzigen Worte besteht, aus einem Namen, wenn auch diesmal nicht einer Person, sondern einer Örtlichkeit), das Werk legt den inszenatorischen Grundstein für das süße Jenseits (1997 gestaltete man die Welt des Verlustes allerdings naturgemäß, da nicht überwiegend in einem Etablissement spielend, etwas weniger kompromisslos, zumindest auf visueller Ebene, rein psychologisch gesehen nehmen sich die Filme hingegen nicht viel und bilden ohnedies eine einmalige Einheit zweier Perlen filmischer Gestaltungsnatur), ist bereits gleichermaßen perfektionsfreudig wie sein Nachfolger, vielschichtig auch die Leistung von Mia Kirshner erneut hervorzuheben, von strengem Bisse bis hin zur süßlichen Zartheit ist die Bandbreite ihrer Rolle enorm, sinnlich verkörpert sie den Rausch ihrer Umgebung und doch wissen wir um die deutlich umfassenderen Elemente ihrer Innenwelt, wie konnten unsere Figuren ALL DAS überleben?, jeder Hauch einer einzelnen Berührung seelischer wie physischer Art bedeutet in dem Filme „Exotica“ gefühlt fast mehr als ganze Leben es vermögen würden, so real spüren wir die Strömungen und Energien, als befänden wir uns direkt vor Ort, die Dialoge lassen uns genauso wenig kalt als betrachteten wir beispielsweise einen Film von Éric Rohmer, der Film ist genauso nah an der Liebe wie ein Zulawski, so subtil und gut strukturiert wie ein Polanski, so düster wie ein Marian Dora, David Lynch oder Robert Sigl, so schwebend wie ein ki duk, die Wahrheit Exoticas verbarg sich stets hinter den Farbenmeeren der Dekorationskünste, präsentiert wird eine widersprüchliche Welt irgendwo zwischen absoluter Offenheit und dennoch einem „You‘re not supposed to touch“, letztere Art von Kontakt böte Potential für eine von Koteas gnadenlos missbräuchlich verwandte Möglichkeit eines musikalisch orkanös untermalten Rausschmisses, welcher unseren Freund Francis auf direktem Wege auf die Straße der gewittrigen Nacht führt…, nächtens blüht die Welt mal wieder zu brutal.
Eines NACHTS (fürwahr, der gesamte Film ein Abendgedicht) philosophiert Eric für sich selbst im Exotica, MIT sich selbst, die entscheidende Frage aber, auf welche seine durchaus kontroversen Satzgebilde hinauslaufen, ist verblüffend simpel:
„Was isses‘?“
Im Kino des Atom Egoyan gibt es nur selten einen Kippschalter, fast niemand besitzt die Fähigkeit, vollends „abzuschalten“, die Nachdenklichkeit kann zuweilen geradezu ungebremst eine Endstufe erklommen haben und macht dennoch weiter als habe sie soeben erst begonnen, der Gipfel ist allgegenwärtig, die Gespräche zwischen Mia und Thomas (jawohl, nun Thomas, wie sie konstatierte: die Psychokonferenz) erweisen sich als außerordentlich berührend und bewegend, hochgradig emotional sitzt Greenwood derweil im Wagen, höret die Konversation, lauscht gebannt und präsentiert die schauspielerisch besten Passagen des gesamten Films, eine der bestgespielten Szenen der Filmgeschichte und in der klanglichen Untermalung einzigartig, ein Zitat wie (Nosferatu II) „Zeit ist ein Abgrund tausend Nächte tief“ würde auch nahezu perfekt zu Exotica passen, spüren Sie das Puzzle der Verschiebungen, der Verwicklungen, der Verrückungen zwischen Vergangenheit, Gegenwart und Zukunft, einstmals rosig, später tot, künftighin ungewiss, Thomas sodann begäbe sich in stille Welten, zöge sich zurück, dorten dann versuchet Koteas dieselbe Form von Manipulation bei ihm walten zu lassen wie zuvor noch bei Bruce („you‘re with me?“), „she really seems to be herself with you“, erstmals füget er unmissverständlicher hinzu: „I used to be her lover.“, fürderhin wird er es wohl nicht mehr sein, nicht zu Unrecht rastet sie in seiner Gegenwart alsbald aus.
Vom (unklaren, verschwommenen) Ziele sind wir stets unweit entfernt, ihm aber dennoch NIE nahe, mal erscheint etwas „lösbar“, kurz darauf begänne die Suche von vorn, Sätze wie „There is no baby to sit“ bleiben haften, EVERYTHING taken away… , so ließe sich die Welt des Francis in wenigen Worten zusammenfassen, seine diplomatisierte Drohung „Make it your day“ Thomas gegenüber, ja, sie bildet einen weiteren recht extremen Moment, überhaupt ließe sich, wie ich finde, sagen:
Der gefühlt auf so gut wie jedem auch nur annähernd mysteriösen Schrottfilme abgedruckt werdende Satz „Nichts ist wie es scheint“ (man dächte etwa an den recht überraschenden abrazo zwischen Eric und Francis, tatsächlich haben diesen nur wenige Zuschauer vorhergesehen, dessen bin ich sicher) träfe auf nur sehr wenige Werke so sehr zu wie auf Exotica (bei vielen Filmen verheißt er genau das Gegenteil), Exotica, bei welchem (oder vielmehr dessen Regisseur) ich es durchaus bedaure, wenn fast ausschließlich über prätentiöses und verkopftes Strukturkino jenseits der Verständlichkeit parliert wird, dabei halten die Werke ihren Finger IMMER an den Puls und die Emotionen unserer Herzen, das traf auch schon auf frühe Werke wie etwa speaking parts zu (1989, Jubiläum, ein Oldtimer), Exotica ist keine intellektuelle Schlaftablette, sondern sagenhaftes Seduktionskino, wie es einfallsreicher und brillanter kaum im Bereiche des Möglichen läge, Verführung und Untergang gehen ironischerweise Hand in Hand durch des Filmes Feuer, wir leben einerseits für den Zauber der Momentaufnahme, aber dennoch ist dieser Effekt gepaart mit massiver Seelenqual emotionaler Exzesse, gegen Ende naht ein letzter Licht- und Rückblick in eine wohl bessere Zeit, damals half ER Mia, heute hingegen SIE ihm (nicht dass das möglich wäre, aber sie ist wirklich nah dran), sie hören einander stets zu und geleiten uns in Vollkommenheit in die schönste Abspannmusik der Filmgeschichte…
Perfektion ohnegleichen,
ein Gedicht im Bilde,
Schicksal der Leichen,
erinnerungsreiche Gefilde.
Verwoben‘ Gebilde der Zeiten,
sich zu entsinnen die Devise sei,
gedanklich unendliche Weiten,
NIE wird die Seele sein endlich frei…
Tochter entschwunden,
zwei Mädchen sie noch existent,
Traumata nicht überwunden,
die Leiden so extrem und evident.",5.0,positivo
